anomalia	position	words_count	accent_vowels	tf_idf	pos	names	punctuation_in_the_middle	question	negation	line_sentence	numerals	subject	verbs	adjectives	adverbs	personal_pronomen	prepositions	part	conjunction	conj_constructions	o	u	a	e	i	y	prev_word_count	prev_accent_vowels	prev_tf_idf	prev_names	prev_punctuantion_in_the_middle	prev_question	prev_negation	prev_line_sentence	prev_numerals	prev_subject	prev_verbs	prev_adjectives	prev_adverbs	prev_personal_pronomen	prev_prepositions	prev_part	prev_conjunction	prev_conj_constructions	prev_ikt_schema	prev_o	prev_u	prev_a	prev_e	prev_i	prev_y	post_word_count	post_accent_vowels	post_tf_idf	post_names	post_punctuantion_in_the_middle	post_question	post_negation	post_line_sentence	post_numerals	post_subject	post_verbs	post_adjectives	post_adverbs	post_personal_pronomen	post_prepositions	post_part	post_conjunction	post_conj_constructions	post_ikt_schema	post_o	post_u	post_a	post_e	post_i	post_y
0	p1	7	эииээы	1	MBMSAVV	0	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	0	1	3	2	1	40	оаэооуэаиииээооааоииаиауыаоауа	7	3	1	0	1	1	0	13	7	1	0	9	5	2	1	0	1	7	3	1	4	6	1	39	оэаооуиоииооэииииоиаааыуоаээоо	3	1	1	0	0	1	0	14	7	4	3	2	2	1	6	0	1	10	2	4	4	8	1
0	p1	9	оэаооу	0	BVCSCSMRS	0	1	0	0	0	0	3	1	0	1	1	0	1	2	0	3	1	0	1	0	0	39	эииээыоаэооуэаиииээооааоииаиау	6	3	1	0	0	1	0	12	7	2	1	9	5	1	0	0	1	6	2	2	7	8	1	37	иоииооэииииоиаааыуоаээооооуиао	4	1	0	0	0	1	0	13	8	4	2	2	3	0	4	0	2	10	2	4	3	9	1
0	p1	9	иоииоо	0	PASCSVPSA	0	0	0	0	0	0	3	1	2	0	0	2	0	1	0	3	0	2	0	3	0	41	оэаооуэииээыоаэооуэаиииээооаао	4	3	2	0	0	1	0	12	7	2	2	8	4	2	2	0	1	9	2	2	8	5	1	41	эииииоиаааыуоаээооооуиаооаэаээ	4	2	0	0	0	1	0	14	7	3	2	3	4	0	5	0	2	8	2	3	6	6	1
0	p1	6	эиииио	3	ASSSSA	1	0	0	0	0	0	4	0	2	0	0	0	0	0	0	1	0	2	1	4	0	43	иоииоооэаооуэииээыоаэооуэаиииэ	2	2	2	0	0	1	0	12	6	4	2	7	5	2	3	0	1	9	2	4	7	8	1	43	иаааыуоаээооооуиаооаэаээоэооао	3	1	0	0	1	1	0	14	8	1	2	4	5	1	5	0	2	11	2	1	6	2	1
0	p1	8	иаааыу	0	SVBVCVMS	0	0	0	0	1	0	2	3	0	1	1	0	0	1	0	0	1	0	0	1	1	39	эииииоиоииоооэаооуэииээыоаэооу	5	3	1	0	0	1	0	14	4	6	2	4	3	1	3	0	0	10	2	6	6	9	1	42	оаээооооуиаооаэаээоэооаоэоиоаэ	5	3	1	0	1	0	0	14	7	2	2	3	5	2	4	0	2	13	1	2	8	2	0
0	p1	7	оаээоо	0	CCBSSVV	0	0	0	0	0	0	2	2	0	1	0	0	0	2	0	3	0	0	2	0	0	39	иаааыуэииииоиоииоооэаооуэииээы	4	1	1	0	0	1	0	13	7	5	3	3	2	1	4	0	0	7	2	5	5	10	2	42	ооуиаооаэаээоэооаоэоиоаэооуаии	6	3	1	0	2	1	0	14	6	3	1	4	5	3	3	0	1	12	2	3	6	4	0
0	p1	7	ооуиао	1	SPMMVVS	0	0	0	0	0	0	2	2	0	0	1	1	0	0	0	3	1	0	0	1	0	39	оаээооиаааыуэииииоиоииоооэаооу	3	1	1	0	0	1	0	14	7	4	3	2	2	1	6	0	1	10	2	4	4	8	1	45	оаэаээоэооаоэоиоаэооуаииоэыоэо	5	3	1	0	2	1	0	15	5	4	1	4	6	3	4	0	1	12	1	4	8	3	1
0	p1	13	оаэаээ	0	PSMPSCMCPSASM	1	0	0	0	0	0	4	0	1	0	1	3	0	2	0	1	0	1	3	0	0	37	ооуиаооаээооиаааыуэииииоиоииоо	4	1	0	0	0	1	0	13	8	4	2	2	3	0	4	0	2	10	2	4	3	9	1	39	оэооаоэоиоаэооуаииоэыоэоаээаио	9	2	1	0	2	1	0	12	7	4	2	3	3	3	2	0	1	12	1	4	7	4	1
0	p1	8	оэооао	2	MRSPSVSS	0	0	0	1	0	0	4	1	0	0	1	1	1	0	0	4	0	0	1	0	0	41	оаэаээооуиаооаээооиаааыуэиииио	4	2	0	0	0	1	0	14	7	3	2	3	4	0	5	0	2	8	2	3	6	6	1	40	эоиоаэооуаииоэыоэоаээаиоооиоао	7	2	1	0	1	1	0	10	7	5	2	2	3	2	3	0	1	12	1	5	6	5	1
0	p1	7	эоиоаэ	2	BSRAVVS	2	1	0	0	0	0	2	2	1	1	0	0	1	0	0	2	0	1	2	1	0	43	оэооаооаэаээооуиаооаээооиаааыу	3	1	0	0	1	1	0	14	8	1	2	4	5	1	5	0	2	11	2	1	6	2	1	40	ооуаииоэыоэоаээаиоооиоаоыуоаао	7	0	0	0	1	2	0	11	6	6	1	2	3	1	4	0	1	12	2	6	4	4	2
0	p1	7	ооуаии	1	ASCRVMS	0	0	0	1	1	0	2	1	1	0	1	0	1	1	0	2	1	1	0	2	0	42	эоиоаэоэооаооаэаээооуиаооаээоо	5	3	1	0	1	0	0	14	7	2	2	3	5	2	4	0	2	13	1	2	8	2	0	42	оэыоэоаээаиоооиоаоыуоааоаауиио	6	0	1	0	0	1	0	11	7	5	1	2	4	1	3	0	1	11	2	5	4	4	2
0	p1	10	оэыоэо	0	CPMSMVPASS	0	0	0	0	0	0	3	1	1	0	1	2	0	1	0	3	0	1	2	0	1	42	ооуаииэоиоаэоэооаооаэаээооуиао	6	3	1	0	2	1	0	14	6	3	1	4	5	3	3	0	1	12	2	3	6	4	0	39	аээаиоооиоаоыуоааоаауииооооэоы	8	1	1	0	0	2	0	10	8	5	1	1	3	1	2	0	0	12	2	5	3	4	2
0	p1	7	аээаио	4	ASVBMMV	0	0	0	0	0	0	1	2	1	1	0	0	0	0	0	1	0	1	2	1	0	45	оэыоэоооуаииэоиоаэоэооаооаэаээ	5	3	1	0	2	1	0	15	5	4	1	4	6	3	4	0	1	12	1	4	8	3	1	40	ооиоаоыуоааоаауииооооэоыиэээаэ	5	1	1	0	0	2	0	12	7	5	0	2	4	1	3	0	0	11	2	5	5	4	2
0	p1	9	ооиоао	0	SAMMVCMPS	0	0	0	0	0	0	2	1	1	0	0	1	0	1	0	4	0	1	0	1	0	39	аээаиооэыоэоооуаииэоиоаэоэооао	9	2	1	0	2	1	0	12	7	4	2	3	3	3	2	0	1	12	1	4	7	4	1	40	ыуоааоаауииооооэоыиэээаэыоиоои	5	3	1	0	0	2	0	13	7	5	0	2	4	2	2	0	0	10	2	5	5	5	3
0	p1	7	ыуоаао	2	AASCSVS	0	0	0	0	1	0	3	1	2	0	0	0	0	1	0	2	1	2	0	0	1	40	ооиоаоаээаиооэыоэоооуаииэоиоаэ	7	2	1	0	1	1	0	10	7	5	2	2	3	2	3	0	1	12	1	5	6	5	1	41	аауииооооэоыиэээаэыоиооиыиэиоа	3	4	2	0	0	1	0	12	8	4	0	3	5	2	2	0	0	9	1	4	6	7	3
0	p1	9	аауиио	0	MMVPSVMRS	0	1	0	0	0	0	2	2	0	0	1	1	1	0	0	1	1	0	0	2	0	40	ыуоааоооиоаоаээаиооэыоэоооуаии	7	0	0	0	1	2	0	11	6	6	1	2	3	1	4	0	1	12	2	6	4	4	2	39	оооэоыиэээаэыоиооиыиэиоаоаоаэи	4	6	1	0	0	1	0	15	7	4	0	2	5	1	2	0	0	10	0	4	7	6	3
0	p1	7	оооэоы	2	MSPSAVV	1	0	0	0	1	0	2	2	1	0	0	1	0	0	0	4	0	1	1	0	1	42	аауииоыуоааоооиоаоаээаиооэыоэо	6	0	1	0	0	1	0	11	7	5	1	2	4	1	3	0	1	11	2	5	4	4	2	41	иэээаэыоиооиыиэиоаоаоаэиаэуэоа	2	5	1	0	0	1	0	15	6	4	1	3	5	1	3	0	0	7	1	4	8	6	2
0	p1	8	иэээаэ	1	PMSCASVS	0	0	0	0	0	0	3	1	1	0	1	1	0	1	0	0	0	1	4	1	0	39	оооэоыаауииоыуоааоооиоаоаээаио	8	1	1	0	0	2	0	10	8	5	1	1	3	1	2	0	0	12	2	5	3	4	2	43	ыоиооиыиэиоаоаоаэиаэуэоаоааиаа	1	5	2	0	1	1	0	12	6	3	3	4	5	3	3	0	1	8	1	3	4	6	2
0	p1	9	ыоиоои	0	PSMVSAMRS	2	0	0	0	0	0	3	1	1	0	0	1	1	0	0	3	0	1	0	2	1	40	иэээаэоооэоыаауииоыуоааоооиоао	5	1	1	0	0	2	0	12	7	5	0	2	4	1	3	0	0	11	2	5	5	4	2	41	ыиэиоаоаоаэиаэуэоаоааиааиэиаау	3	3	2	1	1	2	0	12	6	2	3	5	6	2	3	0	1	5	2	2	5	6	1
0	p1	8	ыиэиоа	0	SASVCPMV	1	1	0	0	0	0	2	2	1	0	1	1	0	1	0	1	0	1	1	2	1	40	ыоиооииэээаэоооэоыаауииоыуоаао	5	3	1	0	0	2	0	13	7	5	0	2	4	2	2	0	0	10	2	5	5	5	3	43	оаоаэиаэуэоаоааиааиэиаауаиэиуи	3	4	1	1	2	2	0	14	4	1	3	5	6	3	4	0	1	4	3	1	5	7	0
0	p1	7	оаоаэи	1	SPSSVSS	2	0	0	0	0	0	5	1	0	0	0	1	0	0	0	2	0	0	1	1	0	41	ыиэиоаыоиооииэээаэоооэоыаауиио	3	4	2	0	0	1	0	12	8	4	0	3	5	2	2	0	0	9	1	4	6	7	3	44	аэуэоаоааиааиэиаауаиэиуиаиооаи	2	2	1	2	2	3	0	11	5	1	3	6	7	3	4	0	1	4	3	1	4	8	0
0	p1	9	аэуэоа	0	BCASPMMSV	0	0	0	0	1	0	2	1	1	1	1	1	0	1	0	1	1	1	2	0	0	39	оаоаэиыиэиоаыоиооииэээаэоооэоы	4	6	1	0	0	1	0	15	7	4	0	2	5	1	2	0	0	10	0	4	7	6	3	45	оааиааиэиаауаиэиуиаиооаииээауо	2	2	2	2	2	2	0	10	6	2	2	8	8	3	3	0	1	4	3	2	4	9	0
0	p1	10	оааиаа	0	BPMVMCRMRB	0	1	0	1	0	0	0	1	0	2	2	1	2	1	0	1	0	0	0	1	0	41	аэуэоаоаоаэиыиэиоаыоиооииэээаэ	2	5	1	0	0	1	0	15	6	4	1	3	5	1	3	0	0	7	1	4	8	6	2	43	иэиаауаиэиуиаиооаииээауоэиуоои	2	4	1	2	1	2	0	14	6	2	0	7	8	1	3	0	0	5	4	2	5	10	0
0	p1	7	иэиаау	2	SSPPMVS	0	0	1	0	1	0	3	1	0	0	1	2	0	0	0	0	1	0	1	2	0	43	оааиаааэуэоаоаоаэиыиэиоаыоиоои	1	5	2	0	1	1	0	12	6	3	3	4	5	3	3	0	1	8	1	3	4	6	2	46	аиэиуиаиооаииээауоэиуооиуэуаоа	0	4	1	1	2	2	0	14	8	2	0	6	8	2	4	0	0	6	5	2	5	8	0
0	p1	10	аиэиуи	0	MCSRSCPMSS	2	0	0	1	0	0	4	0	0	0	1	1	1	2	0	0	1	0	1	3	0	41	иэиаауоааиаааэуэоаоаоаэиыиэиоа	3	3	2	1	1	2	0	12	6	2	3	5	6	2	3	0	1	5	2	2	5	6	1	44	аиооаииээауоэиуооиуэуаоаэииоэа	2	4	1	1	1	2	0	14	9	2	0	6	8	1	3	0	0	7	4	2	6	7	0
0	p1	8	аиооаи	0	VVMMPSPS	0	0	1	0	1	0	2	2	0	0	1	2	0	0	0	2	0	0	0	2	0	43	аиэиуииэиаауоааиаааэуэоаоаоаэи	3	4	1	1	2	2	0	14	4	1	3	5	6	3	4	0	1	4	3	1	5	7	0	46	иээауоэиуооиуэуаоаэииоэаоиаэоы	2	4	1	0	1	1	0	14	11	2	0	5	7	1	4	0	0	7	4	2	7	6	1
0	p1	10	иээауо	0	SMAVPMVPMA	0	1	0	0	0	0	1	2	2	0	3	2	0	0	0	1	1	2	2	1	0	44	аиооаиаиэиуииэиаауоааиаааэуэоа	2	2	1	2	2	3	0	11	5	1	3	6	7	3	4	0	1	4	3	1	4	8	0	43	эиуооиуэуаоаэииоэаоиаэоыаээоиэ	5	6	1	0	2	1	0	16	11	0	1	2	5	2	4	0	0	7	3	0	8	6	1
0	p1	8	эиуоои	0	SSSVCMPS	2	0	0	0	0	0	4	1	0	0	1	1	0	1	0	2	1	0	1	2	0	45	иээауоаиооаиаиэиуииэиаауоааиаа	2	2	2	2	2	2	0	10	6	2	2	8	8	3	3	0	1	4	3	2	4	9	0	44	уэуаоаэииоэаоиаэоыаээоиэооэаэи	5	4	1	0	2	2	0	14	11	1	2	2	5	2	4	0	0	7	2	1	9	5	1
0	p1	10	уэуаоа	0	SRVVCPSPSV	0	0	0	1	1	0	3	3	0	0	0	2	1	1	0	1	2	0	1	0	0	43	эиуооииээауоаиооаиаиэиуииэиаау	2	4	1	2	1	2	0	14	6	2	0	7	8	1	3	0	0	5	4	2	5	10	0	40	эииоэаоиаэоыаээоиэооэаэиуоэоэа	7	7	1	0	1	1	0	15	8	2	2	2	3	1	3	0	0	8	1	2	10	5	1
0	p1	8	эииоэа	2	SPSVSSCM	2	0	0	0	0	0	4	1	0	0	1	1	0	1	0	1	0	0	2	2	0	46	уэуаоаэиуооииээауоаиооаиаиэиуи	0	4	1	1	2	2	0	14	8	2	0	6	8	2	4	0	0	6	5	2	5	8	0	39	оиаэоыаээоиэооэаэиуоэоэаэаэиоы	7	7	1	0	1	1	0	15	8	3	2	1	2	1	2	0	0	8	1	3	10	4	2
0	p1	10	оиаэоы	0	PSMVVCSVMV	0	0	0	0	0	0	2	4	0	0	0	1	0	1	0	2	0	0	1	1	1	44	эииоэауэуаоаэиуооииээауоаиооаи	2	4	1	1	1	2	0	14	9	2	0	6	8	1	3	0	0	7	4	2	6	7	0	38	аээоиэооэаэиуоэоэаэаэиоыааииаи	7	7	1	0	1	1	0	14	6	3	3	2	1	2	2	0	0	6	1	3	9	6	1
0	p1	7	аээоиэ	3	VSBRVSS	2	1	0	1	0	0	3	2	0	1	0	0	1	0	0	1	0	0	3	1	0	46	оиаэоыэииоэауэуаоаэиуооииээауо	2	4	1	0	1	1	0	14	11	2	0	5	7	1	4	0	0	7	4	2	7	6	1	39	ооэаэиуоэоэаэаэиоыааииаиаоээаэ	5	5	1	0	0	1	0	13	5	4	3	3	1	1	3	0	0	6	1	4	9	5	1
0	p1	9	ооэаэи	0	SASCBPMVM	0	0	0	0	1	0	2	1	1	1	1	1	0	1	0	2	0	1	2	1	0	43	аээоиэоиаэоыэииоэауэуаоаэиуоои	5	6	1	0	2	1	0	16	11	0	1	2	5	2	4	0	0	7	3	0	8	6	1	37	уоэоэаэаэиоыааииаиаоээаэаэоэуо	6	6	2	0	0	0	0	13	4	5	3	3	0	1	2	0	0	6	2	5	9	4	1
0	p1	6	уоэоэа	2	MASSSS	3	0	0	0	0	0	4	0	1	0	0	0	0	0	0	2	1	1	2	0	0	44	ооэаэиаээоиэоиаэоыэииоэауэуаоа	5	4	1	0	2	2	0	14	11	1	2	2	5	2	4	0	0	7	2	1	9	5	1	39	эаэиоыааииаиаоээаэаэоэуоауиооа	5	3	2	0	0	0	0	11	6	4	3	3	3	1	2	0	0	6	2	4	7	5	1
0	p1	7	эаэиоы	2	SVSMSAS	2	0	0	0	0	0	4	1	1	0	0	0	0	0	0	1	0	1	2	1	1	40	уоэоэаооэаэиаээоиэоиаэоыэииоэа	7	7	1	0	1	1	0	15	8	2	2	2	3	1	3	0	0	8	1	2	10	5	1	39	ааииаиаоээаэаэоэуоауиооауооиаи	6	1	2	0	0	0	0	10	6	5	3	3	3	1	2	0	0	7	3	5	5	6	0
0	p1	9	ааииаи	0	BMVMSCMRV	0	0	0	0	0	0	1	2	0	1	1	0	1	1	0	0	0	0	0	3	0	39	эаэиоыуоэоэаооэаэиаээоиэоиаэоы	7	7	1	0	1	1	0	15	8	3	2	1	2	1	2	0	0	8	1	3	10	4	2	36	аоээаэаэоэуоауиооауооиаиоэаоэо	10	2	2	0	0	0	0	13	5	5	2	2	3	0	1	0	0	10	3	5	7	3	0
0	p1	8	аоээаэ	1	MASCBVMS	0	1	0	0	0	0	2	1	1	1	1	0	0	1	0	1	0	1	3	0	0	38	ааииаиэаэиоыуоэоэаооэаэиаээоиэ	7	7	1	0	1	1	0	14	6	3	3	2	1	2	2	0	0	6	1	3	9	6	1	35	аэоэуоауиооауооиаиоэаоэоэыоиаа	12	2	1	0	0	0	0	13	5	4	1	1	3	0	1	0	0	10	3	4	5	4	1
0	p1	7	аэоэуо	1	AMSSABM	1	1	0	0	0	0	2	0	2	1	1	0	0	0	0	2	1	2	2	0	0	39	аоээаэааииаиэаэиоыуоэоэаооэаэи	5	5	1	0	0	1	0	13	5	4	3	3	1	1	3	0	0	6	1	4	9	5	1	34	ауиооауооиаиоэаоэоэыоиааиооаээ	14	1	0	0	0	1	0	14	6	3	0	0	3	0	2	0	0	10	2	3	5	5	1
0	p1	8	ауиооа	1	VPSPMPSV	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	2	1	0	0	1	0	37	аэоэуоаоээаэааииаиэаэиоыуоэоэа	6	6	2	0	0	0	0	13	4	5	3	3	0	1	2	0	0	6	2	5	9	4	1	32	уооиаиоэаоэоэыоиааиооаээиаоэуо	15	3	0	0	0	1	0	17	4	4	0	0	0	0	2	0	0	10	2	4	6	5	1
0	p1	7	уооиаи	3	SASAMVS	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	2	1	2	0	2	0	39	ауиооааэоэуоаоээаэааииаиэаэиоы	5	3	2	0	0	0	0	11	6	4	3	3	3	1	2	0	0	6	2	4	7	5	1	32	оэаоэоэыоиааиооаээиаоэуоээааоа	16	4	0	0	0	1	0	17	4	3	1	0	1	0	2	0	0	9	1	3	8	3	1
0	p1	6	оэаоэо	4	SSSMVS	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0	3	0	0	2	0	0	39	уооиаиауиооааэоэуоаоээаэааииаи	6	1	2	0	0	0	0	10	6	5	3	3	3	1	2	0	0	7	3	5	5	6	0	34	эыоиааиооаээиаоэуоээааоааэоиаа	13	3	1	0	0	1	0	15	5	3	2	1	2	0	3	0	0	7	1	3	7	4	1
0	p1	7	эыоиаа	3	MSCMMVS	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	1	0	0	1	1	1	36	оэаоэоуооиаиауиооааэоэуоаоээаэ	10	2	2	0	0	0	0	13	5	5	2	2	3	0	1	0	0	10	3	5	7	3	0	35	иооаээиаоэуоээааоааэоиааиыыоэа	10	3	1	0	0	1	0	16	6	3	3	1	3	0	3	0	0	7	1	3	7	4	2
0	p1	6	иооаээ	3	ASVSCS	0	0	0	0	1	0	3	1	1	0	0	0	0	1	0	2	0	1	2	1	0	35	эыоиааоэаоэоуооиаиауиооааэоэуо	12	2	1	0	0	0	0	13	5	4	1	1	3	0	1	0	0	10	3	4	5	4	1	37	иаоэуоээааоааэоиааиыыоэаэиоэоа	9	3	2	0	1	0	0	15	7	3	3	2	3	2	2	0	0	7	1	3	7	4	2
0	p1	6	иаоэуо	2	SSSSAS	2	0	0	0	0	0	5	0	1	0	0	0	0	0	0	2	1	1	1	1	0	34	иооаэээыоиааоэаоэоуооиаиауиооа	14	1	0	0	0	1	0	14	6	3	0	0	3	0	2	0	0	10	2	3	5	5	1	40	ээааоааэоиааиыыоэаэиоэоаэоиаоа	7	2	3	1	2	0	0	13	7	2	4	3	4	4	2	0	0	7	0	2	7	4	2
0	p1	7	ээааоа	4	VSBASPS	1	0	0	0	0	0	3	1	1	1	0	1	0	0	0	1	0	1	2	0	0	32	иаоэуоиооаэээыоиааоэаоэоуооиаи	15	3	0	0	0	1	0	17	4	4	0	0	0	0	2	0	0	10	2	4	6	5	1	42	аэоиааиыыоэаэиоэоаэоиаоаиаэиээ	3	1	3	1	2	0	0	12	7	3	3	4	5	4	2	0	0	6	0	3	8	6	2
0	p1	8	аэоиаа	1	SSPMVCBV	0	1	0	0	0	0	2	2	0	1	1	1	0	1	0	1	0	0	1	1	0	32	ээааоаиаоэуоиооаэээыоиааоэаоэо	16	4	0	0	0	1	0	17	4	3	1	0	1	0	2	0	0	9	1	3	8	3	1	43	иыыоэаэиоэоаэоиаоаиаэиээээаоэи	2	2	3	2	2	0	0	12	6	4	2	6	5	5	1	0	0	6	0	4	10	6	2
0	p1	8	иыыоэа	0	VCSPSSBV	0	0	0	0	0	0	3	2	0	1	0	1	0	1	0	1	0	0	1	1	2	34	аэоиааээааоаиаоэуоиооаэээыоиаа	13	3	1	0	0	1	0	15	5	3	2	1	2	0	3	0	0	7	1	3	7	4	1	41	эиоэоаэоиаоаиаэиээээаоэиэаэуаи	4	3	3	2	2	0	0	12	6	4	1	7	4	5	0	0	0	5	1	4	11	6	0
0	p1	8	эиоэоа	2	SAMVRRVS	0	1	0	1	0	0	2	2	1	0	1	0	2	0	0	2	0	1	2	1	0	35	иыыоэааэоиааээааоаиаоэуоиооаээ	10	3	1	0	0	1	0	16	6	3	3	1	3	0	3	0	0	7	1	3	7	4	2	42	эоиаоаиаэиээээаоэиэаэуаиаооуаэ	2	3	2	2	1	1	0	13	5	4	1	7	6	3	0	0	0	5	2	4	10	5	0
0	p1	9	эоиаоа	0	PSMSMRRBS	1	1	1	1	0	0	3	0	0	1	1	1	2	0	0	2	0	0	1	1	0	37	эиоэоаиыыоэааэоиааээааоаиаоэуо	9	3	2	0	1	0	0	15	7	3	3	2	3	2	2	0	0	7	1	3	7	4	2	39	иаэиээээаоэиэаэуаиаооуаэаыээоу	4	3	1	1	0	1	0	12	6	6	0	7	5	1	0	0	0	4	3	6	11	4	1
0	p1	9	иаэиээ	0	VMPASPSMA	0	0	0	0	0	0	2	1	2	0	1	2	0	0	0	0	0	2	3	2	0	40	эоиаоаэиоэоаиыыоэааэоиааээааоа	7	2	3	1	2	0	0	13	7	2	4	3	4	4	2	0	0	7	0	2	7	4	2	39	ээаоэиэаэуаиаооуаэаыээоуоооэоэ	4	3	1	1	0	1	0	13	6	5	0	6	4	1	2	0	0	8	3	5	10	2	1
0	p1	9	ээаоэи	0	SMVPMRMAS	1	1	1	0	0	0	2	1	1	0	3	1	1	0	0	1	0	1	3	1	0	42	иаэиэээоиаоаэиоэоаиыыоэааэоиаа	3	1	3	1	2	0	0	12	7	3	3	4	5	4	2	0	0	6	0	3	8	6	2	36	эаэуаиаооуаэаыээоуоооэоэээаээы	6	2	0	1	0	2	0	16	5	5	0	3	3	0	2	0	0	7	3	5	11	1	2
